CustomerKey,CustomerCode,CustomerName,Education,Occupation,Continent,City,State,CountryRegion
179,11178,"Johnson, Nathan",Graduate Degree,Management,North America,Lakewood,California,United States
180,11179,"Rodriguez, Molly",Graduate Degree,Management,North America,Beverly Hills,California,United States
181,11180,"Anand, April",Bachelors,Management,North America,Chula Vista,California,United States
182,11181,"Martin, Devin",Graduate Degree,Management,North America,Los Angeles,California,United States
183,11182,"Torres, Stephanie",Bachelors,Management,North America,Sedro Woolley,Washington,United States
184,11183,"Lee, Jasmine",Bachelors,Management,North America,Santa Cruz,California,United States
185,11184,"Hernandez, Meghan",Bachelors,Management,North America,Concord,California,United States
187,11186,"Price, Sarah",Bachelors,Management,North America,Palo Alto,California,United States
188,11187,"Cooper, Jennifer",Graduate Degree,Management,North America,Burien,Washington,United States
189,11188,"Morris, Catherine",Graduate Degree,Management,North America,San Gabriel,California,United States
190,11189,"Blanco, Lawrence",Graduate Degree,Management,North America,Bellingham,Washington,United States
191,11190,"Bryant, Carson",Bachelors,Management,North America,Beverly Hills,California,United States
202,11201,"Foster, Amanda",Bachelors,Management,North America,Santa Monica,California,United States
203,11202,"Price, Alexia",Bachelors,Management,North America,Lakewood,California,United States
205,11204,"Rivera, Destiny",High School,Professional,North America,Beaverton,Oregon,United States
206,11205,"Fernandez, Abby",High School,Professional,North America,Burien,Washington,United States
207,11206,"Flores, Blake",Partial College,Professional,North America,Lynnwood,Washington,United States
208,11207,"Cox, Danielle",Partial College,Professional,North America,Renton,Washington,United States
209,11208,"Reed, Maria",Bachelors,Management,North America,Glendale,California,United States
210,11209,"Evans, Allison",Bachelors,Management,North America,Lincoln Acres,California,United States
211,11210,"Wood, Edward",Partial College,Professional,North America,West Covina,California,United States
214,11213,"Murphy, Stephanie",Partial College,Professional,North America,Edmonds,Washington,United States
215,11214,"Miller, Charles",Partial College,Professional,North America,Milwaukie,Oregon,United States
217,11216,"Torres, Jasmine",Partial College,Professional,North America,Portland,Oregon,United States
218,11217,"Adams, Natalie",Partial College,Professional,North America,Portland,Oregon,United States
219,11218,"Brown, Olivia",Partial College,Professional,North America,Tacoma,Washington,United States
220,11219,"Cook, Charles",High School,Professional,North America,Woodburn,Oregon,United States
221,11220,"Huang, Erica",Partial College,Professional,North America,Colma,California,United States
222,11221,"Perry, Nathan",Partial College,Professional,North America,Lakewood,California,United States
223,11222,"Rivera, Alexandra",Bachelors,Management,North America,Santa Monica,California,United States
225,11224,"Li, Tiffany",High School,Professional,North America,Burien,Washington,United States
226,11225,"Lee, Madison",Partial College,Professional,North America,Renton,Washington,United States
227,11226,"Ross, Sydney",Partial College,Professional,North America,W. Linn,Oregon,United States
228,11227,"Chavez, Marshall",Partial College,Professional,North America,Colma,California,United States
229,11228,"Jones, Ashley",Partial College,Professional,North America,El Cajon,California,United States
230,11229,"Stewart, Adrian",Partial College,Professional,North America,Redwood City,California,United States
231,11230,"Turner, Amber",Partial College,Professional,North America,Santa Monica,California,United States
232,11231,"Zhang, Dennis",High School,Professional,North America,Bremerton,Washington,United States
233,11232,"Bryant, Hailey",High School,Professional,North America,Everett,Washington,United States
234,11233,"Li, Todd",Partial College,Professional,North America,Berkeley,California,United States
235,11234,"Griffin, Anna",Partial College,Professional,North America,Long Beach,California,United States
236,11235,"Stewart, Angel",Partial College,Professional,North America,Ballard,Washington,United States
237,11236,"Butler, Jeremy",Partial College,Professional,North America,Bellingham,Washington,United States
238,11237,"Anand, Clarence",Bachelors,Management,Europe,Solingen,North Rhine-Westphalia,Germany
246,11245,"Vazquez, Ricky",High School,Professional,Europe,Hamburg,Hamburg,Germany
247,11246,"Rubio, Latasha",High School,Professional,Europe,Hamburg,Hamburg,Germany
250,11249,"Patel, Cindy",Partial College,Professional,Europe,Sulzbach Taunus,Saar,Germany
253,11252,"Thompson, Nicholas",Graduate Degree,Management,North America,Lemon Grove,California,United States
255,11254,"Vance, Johnathan",Graduate Degree,Management,North America,Burien,Washington,United States
256,11255,"Lin, Colin",Graduate Degree,Management,North America,Burien,Washington,United States
257,11256,"Hernandez, Katelyn",Graduate Degree,Management,North America,Lynnwood,Washington,United States
258,11257,"Powell, Jacqueline",Graduate Degree,Management,North America,Newport Beach,California,United States
259,11258,"Hill, Xavier",Graduate Degree,Management,North America,Palo Alto,California,United States
260,11259,"Stewart, Victoria",Partial College,Professional,North America,Salem,Oregon,United States
261,11260,"Kelly, Katelyn",Bachelors,Management,North America,Burlingame,California,United States
262,11261,"Collins, Stephanie",Graduate Degree,Management,North America,San Diego,California,United States
264,11263,"Richardson, Trinity",Partial College,Professional,North America,Burien,Washington,United States
265,11264,"Martin, Eduardo",Partial College,Professional,North America,Issaquah,Washington,United States
266,11265,"Jones, Elizabeth",Partial College,Professional,North America,Kirkland,Washington,United States
267,11266,"Howard, Taylor",Partial College,Professional,North America,Port Orchard,Washington,United States
268,11267,"Diaz, David",Partial College,Professional,North America,Burlingame,California,United States
269,11268,"Carter, Katelyn",Graduate Degree,Management,North America,Coronado,California,United States
270,11269,"Foster, Ryan",Graduate Degree,Management,North America,Daly City,California,United States
271,11270,"Lee, Robert",Graduate Degree,Management,North America,Lakewood,California,United States
272,11271,"Reed, Danielle",Bachelors,Management,North America,San Francisco,California,United States
273,11272,"Martinez, Lauren",Partial College,Professional,North America,Beverly Hills,California,United States
274,11273,"Lal, Nathan",Partial College,Professional,North America,La Jolla,California,United States
275,11274,"Foster, Kyle",Graduate Degree,Management,North America,Bellingham,Washington,United States
276,11275,"Rai, Jenny",Graduate Degree,Management,North America,Colma,California,United States
279,11278,"Phillips, Jonathan",Partial College,Professional,North America,Edmonds,Washington,United States
280,11279,"Cook, Amanda",Partial College,Professional,North America,Everett,Washington,United States
281,11280,"Collins, Robert",Partial College,Professional,North America,Lynnwood,Washington,United States
282,11281,"Barnes, Megan",Bachelors,Management,North America,Burbank,California,United States
283,11282,"Thomas, Christian",Partial College,Professional,North America,Burien,Washington,United States
284,11283,"Lal, Arturo",Bachelors,Management,North America,Berkeley,California,United States
285,11284,"Serrano, Theresa",Bachelors,Management,North America,Chula Vista,California,United States
286,11285,"Anderson, Jeremy",Partial College,Professional,North America,Fremont,California,United States
287,11286,"Griffin, Hunter",Graduate Degree,Management,North America,Torrance,California,United States
289,11288,"Sanchez, Cindy",Bachelors,Management,North America,Burbank,California,United States
290,11289,"Carter, Maria",Bachelors,Management,North America,Downey,California,United States
291,11290,"Sanchez, Katelyn",Bachelors,Management,North America,Lakewood,California,United States
292,11291,"Wright, Jenna",Bachelors,Management,North America,Lemon Grove,California,United States
293,11292,"Phillips, Seth",Partial College,Professional,North America,San Gabriel,California,United States
294,11293,"Long, Luke",High School,Professional,North America,Port Orchard,Washington,United States
295,11294,"Clark, Dalton",High School,Professional,North America,Issaquah,Washington,United States
296,11295,"Lewis, Taylor",Partial High School,Skilled Manual,North America,Concord,California,United States
297,11296,"Richardson, Haley",Graduate Degree,Management,North America,Everett,Washington,United States
298,11297,"Coleman, Noah",Graduate Degree,Management,North America,Burbank,California,United States
299,11298,"Luo, Jon",Graduate Degree,Management,North America,Chula Vista,California,United States
300,11299,"Vazquez, Orlando",Graduate Degree,Management,North America,Burbank,California,United States
306,11305,"Evans, Sean",Partial College,Professional,North America,Chula Vista,California,United States
307,11306,"Zhou, Micah",Partial College,Professional,North America,Coronado,California,United States
316,11315,"Ward, Hailey",Graduate Degree,Management,North America,Port Orchard,Washington,United States
318,11317,"Russell, Victoria",Partial College,Professional,North America,Salem,Oregon,United States
319,11318,"Wilson, Jessica",Partial College,Professional,North America,Edmonds,Washington,United States
320,11319,"Bailey, Jade",Graduate Degree,Management,North America,Oakland,California,United States
321,11320,"Hill, Morgan",Graduate Degree,Management,North America,Glendale,California,United States
322,11321,"Raman, Terrance",Bachelors,Management,North America,Burien,Washington,United States
323,11322,"Garcia, Sydney",Bachelors,Management,North America,Bremerton,Washington,United States
324,11323,"Patterson, Jose",Graduate Degree,Management,North America,Daly City,California,United States
325,11324,"Anderson, Zachary",Bachelors,Management,North America,Glendale,California,United States
326,11325,"Ross, Elijah",Bachelors,Management,North America,Seattle,Washington,United States
327,11326,"Xie, Rafael",Bachelors,Management,North America,Beverly Hills,California,United States
328,11327,"Moreno, Jaime",Bachelors,Management,North America,Burbank,California,United States
330,11329,"Alvarez, Andy",Bachelors,Management,North America,Concord,California,United States
333,11332,"Ramos, Deanna",Graduate Degree,Manual,Europe,Berlin,Berlin,Germany
336,11335,"Raman, Carla",Bachelors,Manual,Europe,Hof,Bavaria,Germany
339,11338,"Navarro, Frank",Graduate Degree,Clerical,Europe,Bonn,North Rhine-Westphalia,Germany
348,11347,"Navarro, Roy",Partial College,Manual,Europe,Brunswick,Lower Saxony,Germany
349,11348,"Rai, Shawn",Partial College,Manual,Europe,Paderborn,North Rhine-Westphalia,Germany
350,11349,"Luo, Mindy",Partial College,Manual,Europe,Munich,Bavaria,Germany
355,11354,"Suarez, Deanna",Partial College,Manual,Europe,Grevenbroich,North Rhine-Westphalia,Germany
374,11373,"Luo, Carly",Bachelors,Clerical,Europe,Salzgitter,Lower Saxony,Germany
375,11374,"Ortega, Jimmy",Bachelors,Clerical,Europe,Werne,North Rhine-Westphalia,Germany
378,11377,"Robinett, David",Graduate Degree,Clerical,Europe,Solingen,North Rhine-Westphalia,Germany
381,11380,"Kumar, Mitchell",Partial College,Manual,Europe,Saarlouis,Saar,Germany
387,11386,"Cai, Jaclyn",Bachelors,Clerical,Europe,Darmstadt,Hesse,Germany
390,11389,"Shan, Karl",High School,Manual,Europe,Dusseldorf,North Rhine-Westphalia,Germany
392,11391,"Xie, Lindsay",High School,Manual,Europe,Salzgitter,Lower Saxony,Germany
393,11392,"Zhao, Willie",High School,Manual,Europe,Frankfurt,Hesse,Germany
396,11395,"Gutierrez, Beth",Bachelors,Clerical,Europe,Frankfurt,Hesse,Germany
397,11396,"Lopez, Ian",High School,Manual,Europe,Saarlouis,Saar,Germany
405,11404,"Taylor, Megan",Partial College,Manual,Europe,Kassel,Hesse,Germany
406,11405,"Goel, Bonnie",Partial College,Manual,Europe,Bonn,North Rhine-Westphalia,Germany
408,11407,"She, Mario",Partial College,Manual,Europe,Munster,North Rhine-Westphalia,Germany
412,11411,"Ross, Devin",Partial College,Professional,Europe,Ingolstadt,Bavaria,Germany
413,11412,"Bryant, Sydney",Partial College,Professional,Europe,Ingolstadt,Bavaria,Germany
416,11415,"She, Randy",Partial College,Professional,Europe,Darmstadt,Hesse,Germany
419,11418,"Hu, Rafael",Partial College,Professional,Europe,Paderborn,North Rhine-Westphalia,Germany
422,11421,"Sun, Amy",Bachelors,Management,Europe,Offenbach am Main,Hesse,Germany
424,11423,"Stewart, Jasmine",Partial College,Professional,Europe,Hamburg,Hamburg,Germany
425,11424,"Garcia, Pamela",Partial College,Professional,Europe,Berlin,Berlin,Germany
427,11426,"Mehta, Kristopher",Bachelors,Management,Europe,Brunswick,Lower Saxony,Germany
428,11427,"Dominguez, Desiree",Partial College,Professional,Europe,Kiel,Schleswig-Holstein,Germany
429,11428,"Perez, Deanna",Bachelors,Management,Europe,Poing,Bavaria,Germany
431,11430,"Yuan, Casey",High School,Professional,Europe,Bottrop,North Rhine-Westphalia,Germany
432,11431,"Garcia, Bryant",Partial College,Professional,Europe,Hof,Bavaria,Germany
436,11435,"Romero, Robin",Partial College,Management,Europe,Kiel,Schleswig-Holstein,Germany
439,11438,"Nara, Jenny",High School,Management,Europe,Werne,North Rhine-Westphalia,Germany
471,11470,"Suarez, Jay",Partial High School,Manual,Europe,Stuttgart,Baden-Wuerttemberg,Germany
478,11477,"Hughes, Tristan",High School,Manual,Europe,Darmstadt,Hesse,Germany
482,11481,"Hu, Erica",Bachelors,Skilled Manual,Europe,Brunswick,Lower Saxony,Germany
485,11484,"Sai, Erick",Partial College,Clerical,Europe,Neunkirchen,North Rhine-Westphalia,Germany
487,11486,"Rogers, Ariana",Partial High School,Manual,Europe,Erlangen,Bavaria,Germany
493,11492,"Chander, Terrence",High School,Manual,Europe,Eilenburg,Saxony,Germany
496,11495,"Jimenez, Francis",Partial College,Clerical,Europe,Bonn,North Rhine-Westphalia,Germany
500,11499,"Vance, Pedro",Partial College,Clerical,North America,Concord,California,United States
505,11504,"Baker, Jordan",Bachelors,Skilled Manual,North America,Downey,California,United States
509,11508,"Wilson, Elizabeth",Graduate Degree,Skilled Manual,North America,Lynnwood,Washington,United States
510,11509,"Harui, Roger",Bachelors,Skilled Manual,North America,Novato,California,United States
512,11511,"Perry, Caleb",Bachelors,Skilled Manual,North America,Lebanon,Oregon,United States
515,11514,"Diaz, Dalton",High School,Clerical,North America,Tacoma,Washington,United States
516,11515,"Huang, Shannon",High School,Clerical,North America,Burbank,California,United States
517,11516,"Gonzales, Mya",High School,Clerical,North America,Colma,California,United States
518,11517,"Bryant, Katherine",Partial College,Clerical,North America,Redwood City,California,United States
519,11518,"Washington, Edward",Partial College,Clerical,North America,Milwaukie,Oregon,United States
522,11521,"Peterson, Ariana",Partial College,Clerical,North America,Walla Walla,Washington,United States
523,11522,"Hughes, Christian",Graduate Degree,Skilled Manual,North America,Oregon City,Oregon,United States
525,11524,"Jackson, Alyssa",Partial College,Clerical,North America,Torrance,California,United States
545,11544,"Garcia, Joel",Bachelors,Clerical,Europe,Darmstadt,Hesse,Germany
553,11552,"Rubio, Eddie",Partial College,Manual,Europe,Salzgitter,Lower Saxony,Germany
560,11559,"Subram, Frederick",Bachelors,Clerical,Europe,Solingen,North Rhine-Westphalia,Germany
562,11561,"Dominguez, Briana",Partial High School,Manual,Europe,Munich,Bavaria,Germany
563,11562,"Gonzalez, Jarrod",High School,Manual,Europe,Leipzig,Saxony,Germany
565,11564,"Liang, Jorge",High School,Manual,Europe,Frankfurt,Hesse,Germany
568,11567,"Perez, Carla",Bachelors,Clerical,Europe,Berlin,Berlin,Germany
571,11570,"Andersen, Kristin",Bachelors,Skilled Manual,Europe,Berlin,Berlin,Germany
585,11584,"Carter, Devin",Bachelors,Skilled Manual,Europe,Neunkirchen,North Rhine-Westphalia,Germany
596,11595,"Howard, Sebastian",High School,Manual,Europe,Erlangen,Bavaria,Germany
599,11598,"Ruiz, Meredith",Partial College,Clerical,Europe,Saarbrücken,Saar,Germany
603,11602,"Gill, Larry",Partial College,Clerical,Europe,Salzgitter,Lower Saxony,Germany
606,11605,"Subram, Heidi",High School,Manual,Europe,Stuttgart,Baden-Wuerttemberg,Germany
614,11613,"Prasad, Meredith",Partial College,Clerical,Europe,Leipzig,Saxony,Germany
615,11614,"Sharma, Katrina",Partial College,Clerical,Europe,Offenbach am Main,Hesse,Germany
640,11639,"Perry, Angelica",Graduate Degree,Professional,North America,Mill Valley,California,United States
644,11643,"Munoz, Naomi",Bachelors,Skilled Manual,North America,Burien,Washington,United States
645,11644,"Torres, Charles",Bachelors,Skilled Manual,North America,Redmond,Washington,United States
646,11645,"Turner, Gabriella",Bachelors,Skilled Manual,North America,Salem,Oregon,United States
647,11646,"Foster, Anna",Bachelors,Skilled Manual,North America,Burien,Washington,United States
649,11648,"Scott, Kevin",Graduate Degree,Professional,North America,Chula Vista,California,United States
650,11649,"White, Ian",Graduate Degree,Professional,North America,Newport Beach,California,United States
651,11650,"Hayes, Caleb",Graduate Degree,Professional,North America,Glendale,California,United States
654,11653,"Peterson, Sydney",Graduate Degree,Professional,North America,Lebanon,Oregon,United States
655,11654,"Sanchez, Ariana",Graduate Degree,Professional,North America,Bellflower,California,United States
656,11655,"Sharma, Tamara",Graduate Degree,Professional,North America,Concord,California,United States
657,11656,"Perez, Katelyn",Graduate Degree,Professional,North America,Imperial Beach,California,United States
658,11657,"Cox, Megan",Graduate Degree,Professional,North America,Novato,California,United States
659,11658,"Mitchell, Robert",Graduate Degree,Professional,North America,Oakland,California,United States
663,11662,"Kumar, Ethan",Graduate Degree,Professional,North America,Milwaukie,Oregon,United States
664,11663,"Williams, Seth",Graduate Degree,Professional,North America,Walla Walla,Washington,United States
665,11664,"Morgan, Alyssa",Graduate Degree,Professional,North America,Burlingame,California,United States
666,11665,"Dominguez, Janet",Graduate Degree,Professional,North America,Chula Vista,California,United States
667,11666,"Baker, Angel",Graduate Degree,Professional,North America,Torrance,California,United States
668,11667,"Moore, Blake",Bachelors,Skilled Manual,North America,Walla Walla,Washington,United States
669,11668,"Collins, Jada",Bachelors,Skilled Manual,North America,Beverly Hills,California,United States
670,11669,"Simmons, Isabella",Bachelors,Skilled Manual,North America,Tacoma,Washington,United States
671,11670,"Perry, Jacqueline",Bachelors,Skilled Manual,North America,Grossmont,California,United States
672,11671,"Brown, Jessica",Bachelors,Skilled Manual,North America,El Cajon,California,United States
673,11672,"Jai, Chad",Bachelors,Skilled Manual,North America,Beverly Hills,California,United States
674,11673,"Ye, Susan",Bachelors,Skilled Manual,North America,Burien,Washington,United States
675,11674,"Rogers, Morgan",Graduate Degree,Professional,North America,Woodland Hills,California,United States
676,11675,"Martinez, Devin",Graduate Degree,Professional,North America,Everett,Washington,United States
677,11676,"Hu, Alan",Graduate Degree,Professional,North America,Branch,Minnesota,United States
679,11678,"Chavez, Johnny",Graduate Degree,Professional,North America,Cheyenne,Wyoming,United States
680,11679,"Richardson, Dalton",Graduate Degree,Professional,North America,Puyallup,Washington,United States
681,11680,"Nelson, Kaylee",Graduate Degree,Professional,North America,Redmond,Washington,United States
682,11681,"Jones, Abigail",Graduate Degree,Professional,North America,Spokane,Washington,United States
683,11682,"Hall, Kaitlyn",Graduate Degree,Professional,North America,Tacoma,Washington,United States
684,11683,"Taylor, Greg",Graduate Degree,Professional,North America,El Cajon,California,United States
685,11684,"Parker, Devin",Bachelors,Professional,North America,Redmond,Washington,United States
686,11685,"Griffin, Jose",Bachelors,Professional,North America,Milwaukie,Oregon,United States
687,11686,"Edwards, Luke",Bachelors,Professional,North America,Glendale,California,United States
688,11687,"Torres, Cody",Bachelors,Professional,North America,La Jolla,California,United States
689,11688,"Morris, Victoria",Bachelors,Skilled Manual,North America,Sedro Woolley,Washington,United States
690,11689,"Diaz, Ian",Bachelors,Skilled Manual,North America,Edmonds,Washington,United States
691,11690,"Butler, Caroline",Graduate Degree,Professional,North America,Port Orchard,Washington,United States
692,11691,"Wilson, Kaitlyn",Bachelors,Professional,North America,Imperial Beach,California,United States
693,11692,"Gonzales, Caleb",Bachelors,Professional,North America,Burbank,California,United States
695,11694,"Ortega, Jonathon",Bachelors,Skilled Manual,North America,Colma,California,United States
696,11695,"Campbell, Logan",Bachelors,Skilled Manual,North America,Beverly Hills,California,United States
697,11696,"Campbell, Mackenzie",Bachelors,Skilled Manual,North America,Tacoma,Washington,United States
698,11697,"Lee, Eduardo",Bachelors,Skilled Manual,North America,Oakland,California,United States
700,11699,"Peterson, Chase",Bachelors,Skilled Manual,North America,Walla Walla,Washington,United States
701,11700,"Richardson, Xavier",Bachelors,Professional,North America,Woodland Hills,California,United States
702,11701,"Hayes, David",Bachelors,Professional,North America,Novato,California,United States
703,11702,"Zhou, Jenny",Bachelors,Professional,North America,Burlingame,California,United States
704,11703,"Baker, Kaylee",Bachelors,Professional,North America,La Jolla,California,United States
705,11704,"Hernandez, Evan",Bachelors,Professional,North America,Santa Cruz,California,United States
706,11705,"Richardson, Brooke",Graduate Degree,Professional,North America,Woodland Hills,California,United States
707,11706,"Perez, Blake",Bachelors,Professional,North America,Burlingame,California,United States
708,11707,"Cook, Natalie",Bachelors,Professional,North America,Woodland Hills,California,United States
709,11708,"Weisman, Elizabeth",Bachelors,Professional,North America,Lincoln Acres,California,United States
711,11710,"Ramirez, Zoe",High School,Skilled Manual,North America,La Jolla,California,United States
714,11713,"Zhang, Kyle",Partial College,Skilled Manual,North America,Kirkland,Washington,United States
715,11714,"Long, Alexandria",Partial College,Skilled Manual,North America,San Diego,California,United States
716,11715,"Robinson, Chloe",Partial College,Skilled Manual,North America,San Gabriel,California,United States
717,11716,"Kelly, Evan",High School,Skilled Manual,North America,Daly City,California,United States
718,11717,"Jones, Marcus",Partial College,Skilled Manual,North America,Corvallis,Oregon,United States
719,11718,"Jones, Sarah",Partial College,Skilled Manual,North America,Oregon City,Oregon,United States
721,11720,"Morris, Morgan",High School,Skilled Manual,North America,San Diego,California,United States
722,11721,"Alexander, Jennifer",High School,Skilled Manual,North America,Lincoln Acres,California,United States
723,11722,"Hughes, Julian",Partial College,Skilled Manual,North America,Bellingham,Washington,United States
726,11725,"Li, Jose",Partial College,Skilled Manual,North America,Burien,Washington,United States
727,11726,"Liang, Micah",Partial College,Skilled Manual,North America,Burien,Washington,United States
728,11727,"Taylor, Benjamin",Graduate Degree,Professional,North America,National City,California,United States
729,11728,"White, Logan",Partial College,Skilled Manual,North America,Woodburn,Oregon,United States
730,11729,"Campbell, Caleb",Partial College,Skilled Manual,North America,Kirkland,Washington,United States
731,11730,"Torres, Emma",Partial College,Skilled Manual,North America,Redmond,Washington,United States
732,11731,"Gill, Tanya",Partial College,Skilled Manual,North America,Burlingame,California,United States
733,11732,"Sanchez, Erick",Partial College,Skilled Manual,North America,Cincinnati,Ohio,United States
734,11733,"Schmidt, Kristi",Partial College,Skilled Manual,North America,Concord,California,United States
735,11734,"Chen, Omar",Partial College,Skilled Manual,North America,Coronado,California,United States
736,11735,"Gray, Sydney",Partial College,Skilled Manual,North America,Lynnwood,Washington,United States
737,11736,"Sanchez, Sebastian",Partial College,Skilled Manual,North America,Fremont,California,United States
738,11737,"Martin, Megan",Bachelors,Professional,North America,Redwood City,California,United States
742,11741,"Chander, Tamara",Graduate Degree,Professional,North America,Chula Vista,California,United States
743,11742,"Lewis, Edward",Bachelors,Professional,North America,Redwood City,California,United States
744,11743,"Kelly, Chase",Bachelors,Professional,North America,Spring Valley,California,United States
745,11744,"Campbell, Stephanie",Bachelors,Professional,North America,Spring Valley,California,United States
746,11745,"Gonzalez, Allison",Bachelors,Professional,North America,Walla Walla,Washington,United States
747,11746,"Brooks, Seth",Bachelors,Professional,North America,Tacoma,Washington,United States
748,11747,"Davis, Destiny",Graduate Degree,Professional,North America,Edmonds,Washington,United States
771,11770,"Nara, Peter",Graduate Degree,Skilled Manual,North America,Ballard,Washington,United States
772,11771,"Rivera, Isaac",Graduate Degree,Skilled Manual,North America,Marysville,Washington,United States
773,11772,"Moore, Cameron",Graduate Degree,Skilled Manual,North America,Tacoma,Washington,United States
774,11773,"Diaz, Gavin",Graduate Degree,Skilled Manual,North America,El Cajon,California,United States
775,11774,"Sanchez, Emma",Graduate Degree,Skilled Manual,North America,National City,California,United States
780,11779,"Jackson, Sarah",Graduate Degree,Skilled Manual,North America,Woodburn,Oregon,United States
781,11780,"Alexander, Jessica",Graduate Degree,Skilled Manual,North America,Edmonds,Washington,United States
782,11781,"Gray, Carlos",Graduate Degree,Skilled Manual,North America,Daly City,California,United States
783,11782,"Jai, Barbara",Graduate Degree,Skilled Manual,North America,Burbank,California,United States
784,11783,"Mitchell, Sara",Graduate Degree,Skilled Manual,North America,San Diego,California,United States
786,11785,"Diaz, Theodore",Bachelors,Skilled Manual,North America,Ballard,Washington,United States
787,11786,"Murphy, Ian",Graduate Degree,Skilled Manual,North America,Redmond,Washington,United States
788,11787,"Nath, Jerry",Graduate Degree,Skilled Manual,North America,Burbank,California,United States
789,11788,"James, Destiny",Graduate Degree,Professional,North America,Los Angeles,California,United States
790,11789,"Phillips, Bailey",Bachelors,Skilled Manual,North America,National City,California,United States
791,11790,"Gonzalez, Timothy",Bachelors,Skilled Manual,North America,Chula Vista,California,United States
